# corpus_runtimes.csv — ts=2026-09-02T19:54:22Z; git=9b818f3-dirty; clean=no(103); cpu=Intel(R) Xeon(R) 6975P-C; cores=16; mem=247GiB; os=Linux 6.17.0-1019-aws; jvm=OpenJDK 64-Bit Server VM 21.0.12 (Ubuntu); heap=24.0GiB; scala=3.8.1; sbt=2.0.8; build=scalac 3.8.1 -source:3.3 -feature -explain; tools=z3=Z3 version 5.1.0 - 64 bit  vampire=Vampire 5.1.0 (Release build, commit 7b2f410 on 2026-08-13 10:17:34 +0200)  egglog=egglog 3.0.0_2026-09-02_e5dea2d5; literalByRef=true patriciaOps=true; rows=1000; envs-per-program=1000; seed=424242
idx,nodes,nSpace,nPath,uniqueOut,evalI_ms_per1000
0,32,1,0,95,13.704
1,39,2,0,8,4.231
2,12,1,0,98,0.774
3,34,1,0,2,2.114
4,31,1,0,16,5.822
5,21,1,0,2,0.987
6,27,2,0,5,3.952
7,15,1,0,98,1.655
8,35,1,0,5,1.897
9,48,1,1,86,6.803
10,40,1,0,3,2.010
11,18,2,0,28,3.741
12,48,2,0,38,22.940
13,17,1,0,19,1.490
14,27,1,0,13,4.117
15,38,1,1,98,12.626
16,29,1,0,9,1.712
17,27,1,0,6,3.780
18,39,1,0,98,15.158
19,119,1,0,34,4.997
20,18,1,0,14,13.040
21,29,1,0,35,2.672
22,15,1,0,32,1.219
23,22,1,0,88,5.130
24,65,1,0,8,11.212
25,27,1,1,99,4.382
26,29,2,0,47,10.802
27,13,1,0,98,0.853
28,45,2,0,97,9.561
29,86,1,0,2,7.815
30,42,1,0,3,1.047
31,20,1,0,26,4.889
32,17,1,0,98,0.897
33,18,1,0,87,2.421
34,26,1,0,28,2.605
35,17,1,0,9,1.004
36,43,1,0,60,4.753
37,70,2,0,76,36.863
38,30,1,0,39,18.506
39,15,1,0,2,1.277
40,19,2,0,73,11.945
41,19,1,0,95,16.476
42,41,1,0,9,34.350
43,33,1,0,98,1.497
44,27,1,0,38,1.674
45,22,1,0,37,0.858
46,38,1,0,81,3.207
47,21,1,1,98,2.114
48,13,1,0,2,1.417
49,33,1,0,92,3.120
50,23,1,0,44,1.081
51,19,1,0,15,2.770
52,43,1,0,9,3.444
53,56,1,0,14,15.184
54,24,1,0,5,1.234
55,14,1,0,38,1.454
56,68,1,0,98,10.946
57,39,1,1,24,2.774
58,20,1,0,4,2.207
59,21,1,0,16,4.812
60,28,1,0,98,4.049
61,23,1,2,19,2.122
62,14,1,0,23,0.761
63,28,1,1,85,2.713
64,51,1,0,4,5.807
65,64,1,0,98,3.632
66,31,1,1,18,2.282
67,30,1,0,98,7.439
68,50,1,0,68,23.344
69,26,1,0,3,17.785
70,49,1,0,3,3.382
71,23,2,0,84,7.552
72,18,1,0,90,5.663
73,33,1,0,2,4.087
74,31,1,0,2,1.830
75,23,1,0,13,2.676
76,37,1,0,58,2.813
77,19,1,0,7,3.775
78,13,1,0,4,5.373
79,57,1,0,98,212.490
80,26,2,0,8,5.633
81,27,1,0,15,3.531
82,17,1,0,7,2.812
83,26,1,0,89,3.391
84,16,1,0,15,1.944
85,53,1,0,98,13.471
86,13,1,0,2,0.718
87,108,1,0,16,33.355
88,15,1,0,77,2.935
89,51,1,1,70,13.469
90,13,1,0,98,0.893
91,25,1,0,15,65.628
92,51,1,0,5,4.648
93,24,1,0,14,2.948
94,32,1,1,68,7.471
95,58,1,1,64,9.166
96,32,1,0,2,1.973
97,29,1,0,2,5.768
98,16,1,0,10,0.791
99,17,1,1,2,13.446
100,34,1,2,82,3.749
101,16,1,0,2,3.808
102,25,1,0,16,3.989
103,44,2,0,74,14.694
104,17,1,0,16,28.487
105,20,2,0,15,8.058
106,27,1,0,2,5.950
107,32,1,0,2,1.239
108,24,1,0,48,1.749
109,59,1,0,89,13.427
110,41,1,0,3,7.394
111,26,3,0,100,5.584
112,19,1,1,99,4.480
113,41,1,0,41,14.407
114,41,1,0,2,16.396
115,54,1,0,8,14.550
116,12,2,0,100,1.500
117,29,1,0,14,27.375
118,30,1,0,2,1.931
119,35,1,0,95,7.570
120,19,1,1,12,7.271
121,72,1,0,4,15.734
122,43,3,0,53,5.779
123,23,1,0,8,14.310
124,22,1,0,98,5.167
125,21,1,0,92,9.900
126,23,1,0,2,1.722
127,18,1,0,8,1.857
128,12,1,0,98,2.199
129,19,1,0,90,2.368
130,22,1,0,23,1.188
131,19,1,0,2,1.005
132,23,1,0,13,2.729
133,21,1,0,98,1.174
134,17,1,0,84,1.391
135,12,2,0,39,1.609
136,23,1,0,5,0.774
137,71,1,0,14,10.856
138,15,1,0,16,1.544
139,15,1,0,98,7.578
140,37,1,0,98,3.301
141,14,2,0,27,1.601
142,21,1,0,34,2.988
143,33,1,0,98,2.059
144,27,1,0,14,6.135
145,29,2,0,91,4.930
146,13,1,0,4,1.403
147,22,2,0,94,4.681
148,27,1,0,8,4.014
149,48,1,0,25,4.338
150,12,1,0,2,0.933
151,52,1,0,7,3.573
152,20,1,0,32,1.845
153,31,2,0,98,5.649
154,27,1,0,2,3.045
155,16,1,0,98,1.382
156,15,1,0,93,2.365
157,55,2,0,80,8.912
158,39,2,0,34,4.819
159,40,1,0,2,4.678
160,20,1,0,88,5.811
161,26,1,0,3,0.701
162,14,1,0,2,4.352
163,16,2,0,99,3.259
164,27,1,0,36,6.113
165,17,1,0,2,1.389
166,38,1,0,2,26.928
167,13,1,0,98,0.952
168,24,1,0,2,1.685
169,31,2,0,24,26.624
170,43,1,0,98,8.457
171,14,1,0,17,1.103
172,52,1,0,84,5.307
173,46,1,0,87,5.035
174,17,2,0,47,2.021
175,34,1,0,7,1.547
176,62,1,0,98,5.141
177,20,1,0,2,4.481
178,20,1,0,21,1.089
