# expressivity.csv — ts=2026-09-02T19:54:06Z; git=9b818f3-dirty; clean=no(103); cpu=Intel(R) Xeon(R) 6975P-C; cores=16; mem=247GiB; os=Linux 6.17.0-1019-aws; jvm=OpenJDK 64-Bit Server VM 21.0.12 (Ubuntu); heap=24.0GiB; scala=3.8.1; sbt=2.0.8; build=scalac 3.8.1 -source:3.3 -feature -explain; tools=z3=Z3 version 5.1.0 - 64 bit  vampire=Vampire 5.1.0 (Release build, commit 7b2f410 on 2026-08-13 10:17:34 +0200)  egglog=egglog 3.0.0_2026-09-02_e5dea2d5; literalByRef=true patriciaOps=true; target=100000; bank=100; seed=12345
uniqueOut,entropy,nEmpty,nSpace,nPath,respSpace,respPath,respFrac,avgSize,nodes
1,0.0000,100,2,2,0,0,0.0000,0.000,15
46,4.8726,0,2,1,0,1,0.3333,1.000,33
14,2.6099,47,2,2,1,0,0.2500,1.200,29
87,6.3563,0,2,2,1,0,0.2500,3.740,29
1,0.0000,100,2,0,0,0,0.0000,0.000,46
1,0.0000,100,3,2,0,0,0.0000,0.000,15
46,4.8726,0,3,2,0,1,0.2000,1.990,21
1,0.0000,100,1,1,0,0,0.0000,0.000,24
1,0.0000,100,2,2,0,0,0.0000,0.000,14
28,2.8219,59,2,0,0,0,0.0000,0.840,19
1,0.0000,100,3,2,0,0,0.0000,0.000,147
1,0.0000,100,2,0,0,0,0.0000,0.000,125
1,0.0000,100,1,2,0,0,0.0000,0.000,40
1,0.0000,100,2,1,0,0,0.0000,0.000,13
1,0.0000,100,3,2,0,0,0.0000,0.000,23
6,0.5224,93,2,2,0,1,0.2500,0.070,18
1,0.0000,100,1,2,0,0,0.0000,0.000,15
1,0.0000,100,3,0,0,0,0.0000,0.000,57
1,0.0000,100,3,2,0,0,0.0000,0.000,35
1,0.0000,100,3,2,0,0,0.0000,0.000,14
1,0.0000,100,3,0,0,0,0.0000,0.000,27
1,0.0000,100,2,0,0,0,0.0000,0.000,33
1,0.0000,100,2,1,0,0,0.0000,0.000,33
1,0.0000,100,2,1,0,0,0.0000,0.000,15
1,0.0000,100,3,2,0,0,0.0000,0.000,102
6,1.0214,83,1,1,0,1,0.5000,0.170,16
1,0.0000,100,2,0,0,0,0.0000,0.000,55
1,0.0000,100,2,2,0,0,0.0000,0.000,19
1,0.0000,0,2,2,0,0,0.0000,2.000,24
1,0.0000,100,1,1,0,0,0.0000,0.000,17
1,0.0000,100,3,0,0,0,0.0000,0.000,29
1,0.0000,100,2,1,0,0,0.0000,0.000,17
98,6.6039,0,1,2,1,0,0.3333,5.380,28
1,0.0000,100,3,0,0,0,0.0000,0.000,39
19,3.3799,20,2,0,2,0,1.0000,1.230,18
80,5.7215,21,2,0,1,0,0.5000,3.900,39
8,1.0317,84,3,0,1,0,0.3333,0.270,106
31,3.2130,53,1,1,0,1,0.5000,0.470,32
1,0.0000,100,3,0,0,0,0.0000,0.000,36
2,0.9765,41,1,0,1,0,1.0000,0.590,91
1,0.0000,100,1,2,0,0,0.0000,0.000,12
1,0.0000,100,1,2,0,0,0.0000,0.000,27
1,0.0000,100,2,2,0,0,0.0000,0.000,75
1,0.0000,100,2,2,0,0,0.0000,0.000,17
1,0.0000,100,1,1,0,0,0.0000,0.000,28
1,0.0000,100,1,1,0,0,0.0000,0.000,16
1,0.0000,100,2,2,0,0,0.0000,0.000,44
62,5.5094,0,1,2,0,2,0.6667,2.000,39
52,4.7353,29,2,1,2,1,1.0000,1.260,18
1,0.0000,0,2,0,0,0,0.0000,3.000,17
44,3.5081,53,2,1,1,0,0.3333,1.250,22
98,6.6039,0,2,1,1,1,0.6667,3.140,24
1,0.0000,100,2,1,0,0,0.0000,0.000,41
1,0.0000,100,2,1,0,0,0.0000,0.000,13
4,1.9562,0,1,1,0,1,0.5000,1.000,44
1,0.0000,100,1,2,0,0,0.0000,0.000,14
1,0.0000,100,3,2,0,0,0.0000,0.000,56
1,0.0000,100,3,0,0,0,0.0000,0.000,63
15,3.5533,0,2,0,1,0,0.5000,2.600,31
13,1.7996,67,3,2,0,1,0.2000,0.370,21
1,0.0000,100,2,1,0,0,0.0000,0.000,15
1,0.0000,100,1,1,0,0,0.0000,0.000,34
1,0.0000,100,3,0,0,0,0.0000,0.000,20
98,6.6039,0,1,0,1,0,1.0000,4.380,20
30,3.8608,0,3,0,1,0,0.3333,1.000,16
1,0.0000,100,1,2,0,0,0.0000,0.000,37
1,0.0000,100,2,0,0,0,0.0000,0.000,17
1,0.0000,100,2,0,0,0,0.0000,0.000,32
1,0.0000,100,2,2,0,0,0.0000,0.000,34
1,0.0000,100,3,1,0,0,0.0000,0.000,15
1,0.0000,100,3,2,0,0,0.0000,0.000,22
1,0.0000,100,3,1,0,0,0.0000,0.000,24
1,0.0000,100,2,1,0,0,0.0000,0.000,13
1,0.0000,0,1,2,0,0,0.0000,1.000,18
1,0.0000,100,2,0,0,0,0.0000,0.000,52
46,4.8726,0,2,1,0,1,0.3333,1.000,71
1,0.0000,100,3,1,0,0,0.0000,0.000,27
2,0.1414,0,3,1,0,1,0.2500,1.020,17
1,0.0000,100,1,0,0,0,0.0000,0.000,15
1,0.0000,100,2,2,0,0,0.0000,0.000,26
1,0.0000,100,2,1,0,0,0.0000,0.000,54
1,0.0000,100,3,1,0,0,0.0000,0.000,41
1,0.0000,100,1,1,0,0,0.0000,0.000,13
1,0.0000,100,2,0,0,0,0.0000,0.000,36
1,0.0000,100,2,1,0,0,0.0000,0.000,14
1,0.0000,100,3,2,0,0,0.0000,0.000,34
1,0.0000,100,2,0,0,0,0.0000,0.000,50
1,0.0000,100,1,1,0,0,0.0000,0.000,36
1,0.0000,100,2,0,0,0,0.0000,0.000,19
10,2.3733,44,2,1,0,1,0.3333,0.560,29
40,4.1475,28,3,1,1,0,0.2500,2.280,18
1,0.0000,100,1,2,0,0,0.0000,0.000,32
43,3.4487,0,1,2,1,0,0.3333,5.090,19
1,0.0000,100,2,2,0,0,0.0000,0.000,31
1,0.0000,100,1,1,0,0,0.0000,0.000,37
1,0.0000,0,2,0,0,0,0.0000,1.000,16
1,0.0000,100,3,2,0,0,0.0000,0.000,24
73,5.6888,16,3,0,1,0,0.3333,1.960,22
2,0.0808,99,3,1,0,1,0.2500,0.010,27
2,0.1414,98,2,0,0,0,0.0000,0.020,28
1,0.0000,100,3,2,0,0,0.0000,0.000,21
1,0.0000,100,3,2,0,0,0.0000,0.000,19
1,0.0000,100,1,2,0,0,0.0000,0.000,29
1,0.0000,0,3,1,0,0,0.0000,5.000,14
10,1.7026,68,3,0,1,0,0.3333,0.360,14
1,0.0000,100,1,0,0,0,0.0000,0.000,22
1,0.0000,100,3,1,0,0,0.0000,0.000,23
1,0.0000,100,3,2,0,0,0.0000,0.000,24
1,0.0000,100,1,0,0,0,0.0000,0.000,57
1,0.0000,100,1,1,0,0,0.0000,0.000,48
2,0.1944,97,3,1,0,1,0.2500,0.030,45
15,3.5949,12,2,0,2,0,1.0000,2.280,41
1,0.0000,100,1,2,0,0,0.0000,0.000,30
