# prog_matrix.tsv — ts=2026-08-31T15:01:42Z; git=789b26d-dirty; cpu=Intel(R) Xeon(R) 6975P-C; cores=16; mem=247GiB; os=Linux 6.17.0-1019-aws; jvm=OpenJDK 64-Bit Server VM 21.0.12.1 (Eclipse Adoptium); heap=24.0GiB; scala=3.8.1; literalByRef=true patriciaOps=true; programs=1000000; min-nodes=12
row	Mention	Literal	Singleton	Union	Intersection	Subtraction	Restriction	Raffination	Composition	Wrap	Unwrap	TailsUnion	TailsIntersection	Range	Iteration	Constant	Deref	Concat
Singleton.path	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2206575	928095	532689
Union.l	320061	77809	107909	82425	84418	84077	84632	84113	317684	85739	84830	42954	41961	42998	175213	0	0	0
Union.r	366221	90137	121347	74901	77396	77133	77749	77430	314429	79408	78974	39630	39531	39645	162892	0	0	0
Intersection.l	327952	79185	108531	83244	84829	84436	84727	84557	42437	85139	84168	42830	42955	42892	177151	0	0	0
Intersection.r	221842	642645	72158	44965	46531	46240	46468	46663	23272	47693	47546	23761	23701	23858	97690	0	0	0
Subtraction.l	325103	78725	108845	83539	84631	85157	84037	84202	42460	84624	85040	42597	43091	41821	177087	0	0	0
Subtraction.r	219947	53712	659830	44641	46399	46404	46073	46558	23083	47954	47907	23607	23491	23661	97692	0	0	0
Restriction.src	329085	78721	108832	83735	85054	84246	84733	84287	42131	84508	84199	43128	42562	42325	178330	0	0	0
Restriction.by	220663	643142	72832	45354	46659	46514	46459	46511	23074	48169	47626	23732	23396	23819	97926	0	0	0
Raffination.l	328054	78126	108691	83156	84473	84326	84729	84433	41844	84894	84417	42775	43163	42524	176997	0	0	0
Raffination.r	219718	642744	72615	45635	46170	46225	46156	46088	22915	48068	47757	23840	23443	24264	96964	0	0	0
Composition.l	162826	870219	53983	41713	42263	42171	42487	42049	20930	41904	41864	21331	21556	21299	88188	0	0	0
Composition.r	304366	73796	394714	69219	69642	69773	70782	70067	35338	71698	71340	36357	36014	35435	146242	0	0	0
Wrap.src	333144	80568	110556	83786	83760	83150	83519	83926	41371	80034	80599	39988	42393	40498	177656	0	0	0
Wrap.pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1444948	0	0
Unwrap.src	332870	79308	109126	84090	83770	83670	83746	82996	41152	80361	80264	39870	42438	40648	178246	0	0	0
Unwrap.pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1442555	0	0
TailsUnion.src	166371	40294	55141	42294	41818	42020	41954	41585	20898	40542	40729	20227	20975	20223	89338	0	0	0
TailsIntersection.src	41994	10097	13903	285983	10643	10407	10398	10467	285345	9894	9931	5094	5386	5047	22320	0	0	0
Range.src	166216	39987	55736	42000	42110	41839	41607	41403	20652	40213	40102	20251	21682	19855	89320	0	0	0
Iteration.src	1456031	168096	227846	173479	176404	176061	177134	176058	88307	179490	179537	89818	89610	89632	369511	0	0	0
Iteration.body	468659	97297	1104764	122222	124390	124060	124796	125378	62454	125558	126344	63137	62735	62916	1022304	0	0	0
Concat.l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	532689	85034
Concat.r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235661	382062	0
