# candidate	z3	vampire	verdict
unwrap-over-union	unsat	-	PROVED
unwrap-over-inter	unsat	-	PROVED
unwrap-over-sub	unsat	-	PROVED
unwrap-over-comp-NAIVE	timeout	-	UNKNOWN
wrap-merge-union	unsat	-	PROVED
wrap-merge-inter	unsat	-	PROVED
wrap-merge-sub	unsat	-	PROVED
wrap-disjoint-inter	unsat	-	PROVED
wrap-disjoint-sub	unsat	-	PROVED
restrict-over-union	unsat	-	PROVED
restrict-inter-left	unsat	-	PROVED
restrict-sub-left	unsat	-	PROVED
restrict-prefixes-union	unsat	-	PROVED
restrict-wrap-both	timeout	-	UNKNOWN
restrict-over-restrict-NAIVE	timeout	-	UNKNOWN
comp-wrap-left-assoc	unsat	-	PROVED
comp-over-union-left	unsat	-	PROVED
comp-over-union-right	unsat	-	PROVED
comp-over-inter-left-NAIVE	timeout	-	UNKNOWN
tailsu-over-union	unsat	-	PROVED
tailsu-over-inter-NAIVE	timeout	-	UNKNOWN
tailsu-wrap-single	unsat	-	PROVED
