rule_id	kind	line	operations	tier	status	artifacts	note	rule
zipper-descend:0001	rewrite	113		FOL	proved-unbounded	path_concat_epsilon_left_fo,path_concat_epsilon_right_fo	mapped to first-order proof artifact(s)	(rewrite (Concat (Eps) p) p)
zipper-descend:0002	rewrite	114		FOL	proved-unbounded	path_concat_epsilon_left_fo,path_concat_epsilon_right_fo	mapped to first-order proof artifact(s)	(rewrite (Concat p (Eps)) p)
zipper-descend:0003	rule	168	ordered-before	FOL	proved-unbounded	ordered_before_transitive_fo	mapped to first-order proof artifact(s)	(rule ((ordered-before a b) (ordered-before b c)) ((ordered-before a c)))
zipper-descend:0004	rule	191	needs-first-head,TrieZ	FOL	proved-unbounded	zipper_base_terminal_equiv,zipper_base_child_equiv	mapped to first-order proof artifact(s)	(rule ((needs-first-head z) (= z (TrieZ (Union a b)))) ((needs-first-head (TrieZ a)) (needs-first-head (TrieZ b))))
zipper-descend:0005	rule	194	needs-last-head,TrieZ	FOL	proved-unbounded	zipper_base_terminal_equiv,zipper_base_child_equiv	mapped to first-order proof artifact(s)	(rule ((needs-last-head z) (= z (TrieZ (Union a b)))) ((needs-last-head (TrieZ a)) (needs-last-head (TrieZ b))))
zipper-descend:0006	rule	197	UnionOp,needs-first-head	mixed	proved-bounded	zipper_union_terminal_equiv,zipper_union_child_equiv,set_child_union_fo,set_union_idempotent_fo,set_union_associative_fo,child_union_a,child_union_b,child_same_head_union_a,child_same_head_union_b,union_idempotent,union_associative	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((needs-first-head z) (= z (UnionOp a b))) ((needs-first-head a) (needs-first-head b)))
zipper-descend:0007	rule	200	UnionOp,needs-last-head	mixed	proved-bounded	zipper_union_terminal_equiv,zipper_union_child_equiv,set_child_union_fo,set_union_idempotent_fo,set_union_associative_fo,child_union_a,child_union_b,child_same_head_union_a,child_same_head_union_b,union_idempotent,union_associative	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((needs-last-head z) (= z (UnionOp a b))) ((needs-last-head a) (needs-last-head b)))
zipper-descend:0008	rule	203	WrapOp,needs-first-head	mixed	proved-bounded	eager_wrap_set_equiv,zipper_wrap_materialization_equiv,arbitrary_zipper_wrap_set_equiv,set_child_wrap_hit,set_terminal_wrap,wrap_unwrap_left_inverse_a,wrap_unwrap_left_inverse_b,wrap_unwrap_left_inverse_ab,wrap_unwrap_restriction_a,wrap_unwrap_restriction_b	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((needs-first-head z) (= z (WrapOp src (Eps)))) ((needs-first-head src)))
zipper-descend:0009	rule	205	WrapOp,needs-last-head	mixed	proved-bounded	eager_wrap_set_equiv,zipper_wrap_materialization_equiv,arbitrary_zipper_wrap_set_equiv,set_child_wrap_hit,set_terminal_wrap,wrap_unwrap_left_inverse_a,wrap_unwrap_left_inverse_b,wrap_unwrap_left_inverse_ab,wrap_unwrap_restriction_a,wrap_unwrap_restriction_b	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((needs-last-head z) (= z (WrapOp src (Eps)))) ((needs-last-head src)))
zipper-descend:0010	rule	207	needs-first-head,first-head,last-head,TrieZ	FOL	proved-unbounded	zipper_base_terminal_equiv,zipper_base_child_equiv	mapped to first-order proof artifact(s)	(rule ((needs-first-head z) (= z (TrieZ (Singleton (Item item))))) ((first-head z item) (last-head z item)))
zipper-descend:0011	rule	210	needs-last-head,last-head,TrieZ	FOL	proved-unbounded	zipper_base_terminal_equiv,zipper_base_child_equiv	mapped to first-order proof artifact(s)	(rule ((needs-last-head z) (= z (TrieZ (Singleton (Item item))))) ((last-head z item)))
zipper-descend:0012	rule	212	needs-first-head,first-head,last-head,TrieZ	FOL	proved-unbounded	zipper_base_terminal_equiv,zipper_base_child_equiv	mapped to first-order proof artifact(s)	(rule ((needs-first-head z) (= z (TrieZ (Singleton (Concat (Item item) rest))))) ((first-head z item) (last-head z item)))
zipper-descend:0013	rule	215	needs-last-head,last-head,TrieZ	FOL	proved-unbounded	zipper_base_terminal_equiv,zipper_base_child_equiv	mapped to first-order proof artifact(s)	(rule ((needs-last-head z) (= z (TrieZ (Singleton (Concat (Item item) rest))))) ((last-head z item)))
