# PUZZLE15 EXPANSION — the BFS levels the MORKL program produced; re-derived by scripts/check_puzzle15.py
initial	c0.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15
level	2
c0.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15	c1.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15
c0.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15	c4.4.1.2.3.5.6.7.8.9.10.11.12.13.14.15
c1.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15	c0.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15
c1.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15	c2.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15
c1.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15	c5.1.5.2.3.4.6.7.8.9.10.11.12.13.14.15
c4.4.1.2.3.5.6.7.8.9.10.11.12.13.14.15	c0.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15
c4.4.1.2.3.5.6.7.8.9.10.11.12.13.14.15	c5.4.1.2.3.5.6.7.8.9.10.11.12.13.14.15
c4.4.1.2.3.5.6.7.8.9.10.11.12.13.14.15	c8.4.1.2.3.8.5.6.7.9.10.11.12.13.14.15
