# proofs/spatial/STATUS.tsv — written by proofs/spatial/check_transfers.py; do not edit
# id	by	-	verdict
A6-IVL	lean	-	PROVED
A6-ORDER	lean	-	PROVED
A6-MUSTMAY	lean	-	PROVED
A6-RANGE	lean	-	PROVED
A6-WIDEN	lean	-	PROVED
A6-EXHAUST	lean	-	PROVED
A6-EXACT-UNION	checker	-	PROVED
A6-EXACT-INTER	checker	-	PROVED
A6-EXACT-SUB	checker	-	PROVED
A6-EXACT-RESTRICT	checker	-	PROVED
A6-EXACT-RAFF	checker	-	PROVED
A6-EXACT-COMP	checker	-	PROVED
A6-EXACT-TAILS-UNION	checker	-	PROVED
A6-EXACT-TAILS-INTER	checker	-	PROVED
A6-EXACT-WRAP	checker	-	PROVED
A6-EXACT-UNWRAP	checker	-	PROVED
A6-EXACT-RANGE	checker	-	PROVED
A6-EXACT-UNION-SAME	checker	-	PROVED
A6-EXACT-INTER-SAME	checker	-	PROVED
A6-EXACT-SUB-SAME	checker	-	PROVED
A6-PRICING	checker	-	PROVED
A6-SUMM	sbt	-	PROVED-MODULO T9
A6-EVENTS	sbt	-	PROVED-MODULO T9
A6-BACKENDS	sbt	-	PROVED-MODULO T9
A6-IVL-IMPL	-	-	CHECKED-PREMISE
A6-BUDGET	-	-	CHECKED-PREMISE
A6-PATRICIA	-	-	CHECKED-PREMISE
